time,pressure_GS_5,temperature_GS_5,void_GS_5
0.189,2389267.8820696,499.51908793079,0.31795978600089
0.19,2389205.1398716,499.52113340612,0.32624076717217
0.191,2389142.3914595,499.39331460364,0.35557088720464
0.192,2389079.6548808,499.39532812616,0.39969407044137
0.193,2389016.3027321,499.39728650935,0.42286812304949
0.194,2388953.4781911,499.39929997815,0.44951729826126
0.195,2382358.170043,499.27148102848,0.47537249219795
0.196,2373774.5398082,499.27349475795,0.53875724476148
0.197,2373711.8014195,499.1456583267,0.54961957200178
0.198,2373649.056927,499.14768946736,0.61211034329024
0.199,2373586.3123488,499.01981711994,0.57036594027438
0.2,2373523.5728624,498.87860611272,0.4811366216845
0.201,2373460.8294676,498.63445597273,0.46998546697039
0.202,2373398.0848894,498.50663686689,0.46756039783002
0.203,2373335.3443053,498.37884438891,0.46706672694394
0.204,2373272.6014529,498.16458933092,0.48894373606777
0.205,2373209.85743,497.99345878577,0.49990566205974
0.206,2373147.1157482,497.86564000298,0.53092353990192
0.207,2373084.3718958,497.72652675857,0.53743018279091
0.208,2373021.6289706,497.48022513146,0.5417
0.209,2372958.8861911,497.48218328506,0.5427
0.21,2372896.1405893,497.48419688344,0.46781806560908
0.211,2372833.4004864,497.48617480898,0.40721876950513
0.212,2372770.6520623,497.48822423543,0.41470619982159
0.213,2372707.9147816,497.49018227447,0.42566831550802
0.214,2372645.1698076,497.49219607526,0.50288515381186
0.215,2372582.4290769,497.49420960993,0.52880760986065
0.216,2372520.3752245,497.36639093449,0.50544990825688
0.217,2372457.6323722,497.36840448974,0.49479963031423
0.218,2372394.8895198,497.37038401601,0.48753624772313
0.219,2372332.1466674,497.37237624172,0.48259534568459
0.22,2372269.4038151,497.37438978684,0.4812
0.221,2372206.6609627,497.37640032404,0.47811850200624
0.222,2372143.9181103,497.37836161623,0.48639968791797
0.223,2387135.3124575,497.34052079366,0.5337625000001
0.224,2387072.5733222,497.25252578697,0.62458733838609
0.225,2387009.828744,496.99493765298,0.7238136870263
0.226,2386947.0841659,496.8671416245,0.73120129291128
0.227,2386884.341048,496.62654824165,0.74650615247437
0.228,2386821.6012846,496.48172675298,0.7697063753901
0.229,2386758.8567065,496.33449254173,0.77888114132858
0.23,2401750.25663,496.09631212822,0.7824
0.231,2401687.5120519,495.96852482504,0.78234471689701
0.232,2401624.7674737,495.89652527836,0.7825
0.233,2401562.028407,495.8427040434,0.7712250000001
0.234,2401499.2782809,495.84470164106,0.6355
0.235,2401436.5363252,495.84666044721,0.6337
0.236,2401373.7969893,495.84867339305,0.6346
0.237,2401311.0559975,495.98050523797,0.6373
0.238,2401248.3068715,496.11227678833,0.64297614801605
0.239,2401185.5702928,496.24407118845,0.6564862745098
0.24,2401122.8274404,496.63548272649,0.66485318769505
0.241,2386005.9458689,497.02690132396,0.67492153366028
0.242,2370889.0630642,497.28852458263,0.69889072670531
0.243,2361190.4315635,497.16070581424,0.70812385198395
0.244,2341848.3975356,496.87445403695,0.71644551939367
0.245,2307388.6801161,496.77529086831,0.721
0.246,2288047.0686179,496.58252970224,0.72519063753901
0.247,2268706.0243364,496.26006345944,0.7307
0.248,2250080.1790792,495.90054184865,0.7374201515827
0.249,2250017.4319763,495.36450069225,0.74573932233616
0.25,2234900.5551749,495.08845164517,0.75486843513152
0.251,2206460.6196257,494.55242641227,0.7658767618198
0.252,2174559.1993985,494.01641126679,0.78557614801605
0.253,2159442.3183467,493.80580715151,0.78948863129737
0.254,2148438.9281074,493.67795235944,0.7925
0.255,2144217.9723496,493.44838124911,0.79825138269402
0.256,2120568.3268127,493.30241963456,0.80390762371824
0.257,2090414.8760023,493.16475447141,0.81139522960321
0.258,2068804.4566725,493.03697976656,0.81620129291128
0.259,2053687.5757515,492.90917232106,0.82004908604548
0.26,2047511.6676385,492.78135334245,0.82581422202408
0.261,2038507.9483686,492.65355525122,0.8287
0.262,2038445.2098057,492.55638602612,0.83721431119037
0.263,2038382.4654874,492.39790192735,0.8418
0.264,2030627.5241371,492.26437367749,0.84418520499109
0.265,2023202.8371044,492.1183275051,0.8481
0.266,2023140.0929231,491.884718612,0.8502835042354
0.267,2023077.3542232,491.7568997298,0.8534
0.268,2023014.6096451,491.55033249104,0.85553267944717
0.269,2022951.8650669,491.37149889636,0.8569
0.27,2007835.6731465,491.24371530074,0.8596
0.271,2007772.9294618,491.11590276589,0.8605
0.272,2007710.1883809,490.96629258744,0.8596
0.273,2007646.7597725,490.73048783041,0.8596
0.274,2007584.0164997,490.6026689447,0.8588
0.275,2007521.9580523,490.39828598582,0.85618991862568
0.276,1995095.2828912,490.21725417318,0.85403300180832
